h,factor,decile,mean_fwd_ret,excess_ret,n,median_mcap,median_talent,median_energy
1,에너지배율,1,0.0030908352038576696,0.0013533335291887603,20.0,10348332775041.12,0.011119047619047619,0.30685796973919605
1,에너지배율,2,0.002526126577049844,0.0007886249023809349,20.0,7508571003637.562,0.01211904761904762,0.5348752472941876
1,에너지배율,3,0.002976506578782371,0.0012390049041134613,20.0,5404183685826.919,0.015285714285714284,0.8235764468739019
1,에너지배율,4,0.0024956006573412493,0.0007580989826723399,20.0,4233063616662.884,0.018166666666666668,1.2476150159547164
1,에너지배율,5,0.0015927700910486108,-0.00014473158362029878,20.0,3078847548216.4834,0.020547619047619047,1.9095822523174466
1,에너지배율,6,0.001996465562101159,0.00025896388743224956,20.0,2292466525503.805,0.02338095238095238,2.964319394603196
1,에너지배율,7,0.002835311094943389,0.0010978094202744797,20.0,1804085765481.731,0.02585714285714286,4.788304356749124
1,에너지배율,8,0.0009337676174728896,-0.0008037340571960196,20.0,1244194776541.1863,0.028523809523809528,8.224153048741469
1,에너지배율,9,0.0003161099364858406,-0.0014213917381830686,20.0,648873891641.814,0.03197619047619048,16.651340440419144
1,에너지배율,10,-0.0013884765723939257,-0.0031259782470628356,20.0,225777916711.0987,0.03476190476190476,46.856733132679196
1,RS,1,0.0008989954698408249,-0.0008385062048280844,20.0,4392199121419.7017,0.010904761904761905,0.9242660481641917
1,RS,2,0.0019417146721997063,0.00020421299753079706,20.0,3035003936971.9116,0.013,1.6599359597148755
1,RS,3,0.0003888526803686562,-0.001348648994300253,20.0,2468882784508.554,0.015380952380952382,2.071403938345777
1,RS,4,0.0017436266736366582,6.124998967748919e-06,20.0,2528803340280.697,0.019095238095238096,1.8308474914827535
1,RS,5,0.0014710101588276624,-0.0002664915158412468,20.0,2288202221181.404,0.020333333333333335,1.9949228147157156
1,RS,6,3.9926015499844284e-05,-0.001697575659169065,20.0,2186241875909.352,0.021119047619047617,2.224797288809998
1,RS,7,0.0008901688281985918,-0.0008473328464703177,20.0,2259490470159.637,0.024047619047619047,2.501945568074879
1,RS,8,0.0008130537219944521,-0.0009244479526744576,20.0,1844805971277.3008,0.029142857142857147,3.230690900373587
1,RS,9,0.004408229072869353,0.0026707273982004443,20.0,1764109405727.3228,0.033523809523809525,4.406710585297768
1,RS,10,0.004779439453253345,0.0030419377785844367,20.0,1467689284958.217,0.05088095238095238,8.274784104581226
1,주가위치,1,0.00013639580565219872,-0.0016011058690167104,20.0,4415369685433.927,0.011833333333333333,0.8467643749502827
1,주가위치,2,0.0030618856503468236,0.001324383975677914,20.0,3403446854577.3413,0.018404761904761903,1.187315928813422
1,주가위치,3,0.001810976966590488,7.347529192157858e-05,20.0,2568870155587.8633,0.02242857142857143,1.8558394991874823
1,주가위치,4,0.0003294194717652747,-0.0014080822029036348,20.0,2371475162369.6455,0.022952380952380953,2.0601507206810887
1,주가위치,5,-0.0022435392956886295,-0.003981040970357539,20.0,1347282080968.4507,0.024047619047619047,5.56807971663005
1,주가위치,6,0.002259294567464499,0.0005217928927955895,20.0,865307116854.0729,0.02707142857142857,3.7232940047006053
1,주가위치,7,0.0010157007497707527,-0.0007218009248981568,20.0,2104305908527.6826,0.02733333333333333,3.221295443808604
1,주가위치,8,0.0013960306598329087,-0.0003414710148360007,20.0,2144596222475.4878,0.025547619047619048,3.8817805243061585
1,주가위치,9,0.002364364599358913,0.0006268629246900037,20.0,2620700148635.8623,0.024714285714285716,3.7674946732459174
1,주가위치,10,0.007244487571595869,0.005506985896926959,20.0,2988577471294.597,0.024690476190476193,3.6831237841052604
1,talent,1,-0.0007319910499109479,-0.0024694927245798573,20.0,3885980871864.338,0.005214285714285714,2.186638346381422
1,talent,2,0.0015574309072087986,-0.00018007076746011098,20.0,15053609042789.424,0.003380952380952381,0.9436906717150029
1,talent,3,0.0017686659110805003,3.116423641159107e-05,20.0,7018948054037.155,0.006285714285714286,1.1281454915149272
1,talent,4,0.00016841426361628495,-0.001569087411052624,20.0,4500889254021.818,0.015404761904761904,2.2509753610993988
1,talent,5,0.0035601282826315988,0.0018226266079626892,20.0,4044137658800.337,0.020880952380952382,2.8236139293457816
1,talent,6,0.0016600020024736633,-7.749967219524583e-05,20.0,2528719516653.208,0.02726190476190476,3.4448619624199774
1,talent,7,0.002441540540686286,0.0007040388660173767,20.0,1998950809419.2517,0.03223809523809524,3.4086744245912977
1,talent,8,0.0022596717711258077,0.0005221700964568984,20.0,1690911695479.1938,0.040690476190476194,4.346587828147739
1,talent,9,0.003244220873370281,0.001506719198701372,20.0,1149819447642.82,0.056380952380952386,5.4118885987391465
1,talent,10,0.0014469332444068212,-0.0002905684302620881,20.0,866808246238.7423,0.08354761904761905,7.328244931103648
5,에너지배율,1,0.003507355174911874,0.0031607658173466416,20.0,10331544247125.316,0.011039272030651342,0.30638229178401033
5,에너지배율,2,0.003732436635731679,0.0033858472781664465,20.0,7466392017915.762,0.011973180076628353,0.5341337173828216
5,에너지배율,3,0.006621999632105345,0.006275410274540112,20.0,5409049174453.3955,0.015086206896551725,0.8230763649293108
5,에너지배율,4,0.005865001962343941,0.005518412604778709,20.0,4214445132447.556,0.01788793103448276,1.2482536964442492
5,에너지배율,5,0.0016213606740924063,0.001274771316527174,20.0,3072091636043.4854,0.02025862068965517,1.910098223606713
5,에너지배율,6,0.0040236931884549895,0.003677103830889757,20.0,2274434536627.094,0.023299808429118777,2.9676617566742594
5,에너지배율,7,0.0008713862542027569,0.0005247968966375248,20.0,1791498403482.118,0.025574712643678162,4.792656907162316
5,에너지배율,8,-0.002194303394793633,-0.002540892752358865,20.0,1234133063858.8032,0.028184865900383143,8.239024699746277
5,에너지배율,9,-0.005974485351383904,-0.006321074708949135,20.0,644919668271.5686,0.031609195402298854,16.66494044494571
5,에너지배율,10,-0.014608551200013132,-0.014955140557578364,20.0,226100616692.64532,0.03455459770114943,46.86887763819086
5,RS,1,0.000452804400257732,0.0001062150426925001,20.0,4381309319153.6133,0.010775862068965518,0.9242132045875963
5,RS,2,-0.0038857456904199893,-0.004232335047985222,20.0,3005939493089.797,0.012787356321839081,1.6641218099155446
5,RS,3,-0.0016862945689094689,-0.002032883926474701,20.0,2459368794015.2764,0.015181992337164751,2.078217285300962
5,RS,4,0.0022047084583764454,0.0018581191008112134,20.0,2519487103703.235,0.018797892720306516,1.8284302410329016
5,RS,5,-0.0005884035044675773,-0.0009349928620328099,20.0,2286253069704.506,0.020043103448275864,1.9928745144968254
5,RS,6,-0.0005900238452016325,-0.0009366132027668647,20.0,2178414805872.1465,0.021024904214559388,2.2285462829048845
5,RS,7,0.002035258811157969,0.0016886694535927374,20.0,2243345221098.0674,0.023802681992337163,2.502255333087259
5,RS,8,2.4464981263304273e-05,-0.0003221243763019281,20.0,1825422289700.3813,0.02887931034482759,3.2417294761759234
5,RS,9,0.0022302186841633245,0.0018836293265980925,20.0,1765379673674.0823,0.0331896551724138,4.392636060250485
5,RS,10,0.0032689058494322163,0.0029223164918669845,20.0,1470100960943.3008,0.050670498084291186,8.24024298074091
5,주가위치,1,0.0021510375983226178,0.0018044482407573853,20.0,4415487810651.644,0.011661877394636016,0.8457769369933373
5,주가위치,2,0.0056715122840334375,0.005324922926468205,20.0,3401693439016.9844,0.018127394636015325,1.187636388093942
5,주가위치,3,-0.00114800438590731,-0.0014945937434725418,20.0,2559469642717.921,0.02217432950191571,1.8532231690035152
5,주가위치,4,-0.0023739405859047593,-0.0027205299434699915,20.0,2336666658302.0576,0.022701149425287358,2.0666730036169647
5,주가위치,5,-0.009827272354426583,-0.010173861711991816,20.0,1346722409315.7366,0.023706896551724137,5.576586474499146
5,주가위치,6,0.0003218345713636607,-2.475478620157175e-05,20.0,857361981188.8197,0.02681992337164751,3.729374957934657
5,주가위치,7,-0.0005808061115554496,-0.000927395469120682,20.0,2075853954744.0046,0.02710727969348659,3.231082279901967
5,주가위치,8,-0.0006280050392647969,-0.0009745943968300292,20.0,2130802973307.0562,0.025287356321839084,3.894709797907876
5,주가위치,9,0.003439701594596242,0.0030931122370310097,20.0,2617541838915.432,0.024592911877394638,3.7726940705999215
5,주가위치,10,0.006439836004395264,0.0060932466468300315,20.0,2994688122564.1577,0.024616858237547893,3.668360874097716
