h,factor,meanIC_raw,IC_IR_raw,n_obs_raw,meanIC_size_neutral,IC_IR_size_neutral,n_obs_size_neutral,delta_meanIC
20,RS,-0.01718522177711687,-0.1302274360673056,171,0.0027685518297404332,0.021845127180784293,171,0.019953773606857305
20,talent,-0.10572112849157009,-0.8779282203911905,171,-0.058390539750221855,-0.5440616478935504,171,0.04733058874134823
20,에너지배율,-0.15467637015526473,-1.2288776933534316,171,-0.04903334542562757,-0.4544047262678676,171,0.10564302472963716
20,주가위치,-0.0006014632154786797,-0.004486526520249059,171,0.006585330086515399,0.0522217324098595,171,0.007186793301994079
50,RS,-0.005015514026677051,-0.03961018615228049,165,0.022465957852824327,0.1989285991611137,165,0.02748147187950138
50,talent,-0.12694823068299105,-1.158675078582999,165,-0.0679757830836893,-0.7106378240200862,165,0.058972447599301744
50,에너지배율,-0.17494745695747405,-1.3539865158985385,165,-0.036502861842354344,-0.34017591309704703,165,0.1384445951151197
50,주가위치,0.010029161168072941,0.08851775681981637,165,0.018827776960540485,0.17490175853726608,165,0.008798615792467544
