h,kind,type,rank,wf_step,weights,meanIC,IC_IR,n_obs,note,w_tv5,w_RS,w_주가위치,w_talent
20,h20,single_factor,3,0,tv5=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.0033917508469368165,-0.026280572595850336,171,h=20 단일가중 점검: 주가위치=1.0,0.0,0.0,1.0,0.0
20,h20,single_factor,4,0,tv5=0.0 / RS=0.0 / 주가위치=0.0 / talent=1.0,-0.08912363533725554,-0.5963841655956151,171,h=20 단일가중 점검: talent=1.0,0.0,0.0,0.0,1.0
20,h20,is_top5,1,0,tv5=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.0033917508469368165,-0.026280572595850336,171,전구간 meanIC 상위5(과최적 판단용),0.0,0.0,1.0,0.0
20,h20,is_top5,2,0,tv5=0.0 / RS=0.1 / 주가위치=0.9 / talent=0.0,-0.0037702901610371406,-0.028724931914054796,171,전구간 meanIC 상위5(과최적 판단용),0.0,0.1,0.9,0.0
20,h20,is_top5,3,0,tv5=0.0 / RS=0.2 / 주가위치=0.8 / talent=0.0,-0.004232455477707263,-0.03179628350303033,171,전구간 meanIC 상위5(과최적 판단용),0.0,0.2,0.8,0.0
20,h20,is_top5,4,0,tv5=0.0 / RS=0.3 / 주가위치=0.7 / talent=0.0,-0.0046301536147382374,-0.0343337277788893,171,전구간 meanIC 상위5(과최적 판단용),0.0,0.3,0.7,0.0
20,h20,is_top5,5,0,tv5=0.0 / RS=0.4 / 주가위치=0.6 / talent=0.0,-0.005135941592683808,-0.037697647118618054,171,전구간 meanIC 상위5(과최적 판단용),0.0,0.4,0.6,0.0
20,h20,wf_step,1,1,tv5=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.02972746624377033,-0.2540946783897951,34,train=2023-01-17~2023-09-22; test=2023-10-05~2024-06-10; train meanIC 최대,0.0,0.0,1.0,0.0
20,h20,wf_step,2,2,tv5=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.028491036465258836,-0.27250488649169924,34,train=2023-01-17~2024-06-10; test=2024-06-17~2025-02-21; train meanIC 최대,0.0,0.0,1.0,0.0
20,h20,wf_step,3,3,tv5=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,0.03303004824005152,0.2354821844893197,34,train=2023-01-17~2025-02-21; test=2025-02-28~2025-11-04; train meanIC 최대,0.0,0.0,1.0,0.0
20,h20,wf_step,4,4,tv5=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.014159525387575877,-0.09988303546320224,34,train=2023-01-17~2025-11-04; test=2025-11-11~2026-07-15; train meanIC 최대,0.0,0.0,1.0,0.0
20,h20,single_factor_diag,0,0,tv5_turn=1.0 (격자 밖),-0.06329837184593028,-0.3979681965052871,171,h=20 진단 단일신호: tv5_turn (시총 정규화 회전율),0.0,0.0,0.0,0.0
50,h50,best,1,0,tv5=0.0 / RS=0.4 / 주가위치=0.6 / talent=0.0,0.018020618498031167,0.1474900423874702,165,"전구간 meanIC 최대 추천; WF test meanIC=0.0183±0.0307; 선정 가중 안정성 tv5=0.00±0.00, RS=0.42±0.51, 주가위치=0.57±0.51, talent=0.00±0.00; WEIGHT_SETS 미변경",0.0,0.4,0.6,0.0
50,h50,baseline,0,0,tv5=0.1 / RS=0.5 / 주가위치=0.3 / talent=0.1,0.0040492868178497446,0.031031221106127684,165,현재 WEIGHT_SETS['long'],0.1,0.5,0.3,0.1
50,h50,single_factor,1,0,tv5=1.0 / RS=0.0 / 주가위치=0.0 / talent=0.0,-0.013170364846826245,-0.1015007492785876,165,h=50 단일가중 점검: tv5=1.0,1.0,0.0,0.0,0.0
50,h50,single_factor,2,0,tv5=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,0.016177053641124896,0.1251666099475598,165,h=50 단일가중 점검: RS=1.0,0.0,1.0,0.0,0.0
50,h50,single_factor,3,0,tv5=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,0.017252993102843336,0.15191927410667322,165,h=50 단일가중 점검: 주가위치=1.0,0.0,0.0,1.0,0.0
50,h50,single_factor,4,0,tv5=0.0 / RS=0.0 / 주가위치=0.0 / talent=1.0,-0.1074973317391011,-0.7638196873680333,165,h=50 단일가중 점검: talent=1.0,0.0,0.0,0.0,1.0
50,h50,is_top5,1,0,tv5=0.0 / RS=0.4 / 주가위치=0.6 / talent=0.0,0.018020618498031167,0.1474900423874702,165,전구간 meanIC 상위5(과최적 판단용),0.0,0.4,0.6,0.0
50,h50,is_top5,2,0,tv5=0.0 / RS=0.5 / 주가위치=0.5 / talent=0.0,0.01801209842696023,0.14519013326809327,165,전구간 meanIC 상위5(과최적 판단용),0.0,0.5,0.5,0.0
50,h50,is_top5,3,0,tv5=0.0 / RS=0.3 / 주가위치=0.7 / talent=0.0,0.017898175025642147,0.14888421635135943,165,전구간 meanIC 상위5(과최적 판단용),0.0,0.3,0.7,0.0
50,h50,is_top5,4,0,tv5=0.0 / RS=0.2 / 주가위치=0.8 / talent=0.0,0.017775280795597554,0.15053963689084585,165,전구간 meanIC 상위5(과최적 판단용),0.0,0.2,0.8,0.0
50,h50,is_top5,5,0,tv5=0.0 / RS=0.6 / 주가위치=0.4 / talent=0.0,0.01775639234006233,0.14140312550961745,165,전구간 meanIC 상위5(과최적 판단용),0.0,0.6,0.4,0.0
50,h50,wf_step,1,1,tv5=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,0.0005201343106146228,0.003904515099974523,33,train=2023-01-17~2023-09-08; test=2023-09-15~2024-05-17; train meanIC 최대,0.0,0.0,1.0,0.0
50,h50,wf_step,2,2,tv5=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.01525372523302075,-0.21677780381142084,33,train=2023-01-17~2024-05-17; test=2024-05-24~2025-01-20; train meanIC 최대,0.0,0.0,1.0,0.0
50,h50,wf_step,3,3,tv5=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,0.04955623124526814,0.4139875646170463,33,train=2023-01-17~2025-01-20; test=2025-01-31~2025-09-23; train meanIC 최대,0.0,1.0,0.0,0.0
50,h50,wf_step,4,4,tv5=0.0 / RS=0.7 / 주가위치=0.3 / talent=0.0,0.0383687793039093,0.23154050938930784,33,train=2023-01-17~2025-09-23; test=2025-09-30~2026-06-02; train meanIC 최대,0.0,0.7,0.3,0.0
50,h50,single_factor_diag,0,0,tv5_turn=1.0 (격자 밖),-0.0666696488409555,-0.4322225185008218,165,h=50 진단 단일신호: tv5_turn (시총 정규화 회전율),0.0,0.0,0.0,0.0
