h,kind,type,rank,wf_step,w_에너지배율,w_RS,w_주가위치,w_talent,weights,meanIC,IC_IR,n_obs,note
50,h50,best,1,0,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,0.010029161168072943,0.0885177568198164,165,"전구간 meanIC 최대 추천; WF test meanIC=0.0081±0.0459; 선정 가중 안정성 에너지배율=0.00±0.00, RS=0.15±0.30, 주가위치=0.85±0.30, talent=0.00±0.00; WEIGHT_SETS 미변경"
50,h50,baseline,0,0,0.1,0.5,0.3,0.1,에너지배율=0.1 / RS=0.5 / 주가위치=0.3 / talent=0.1,-0.03204017064981193,-0.25403954016803393,165,현재 WEIGHT_SETS['long']
50,h50,single_factor,1,0,1.0,0.0,0.0,0.0,에너지배율=1.0 / RS=0.0 / 주가위치=0.0 / talent=0.0,-0.17494745695747405,-1.3539865158985385,165,h=50 단일가중 점검: 에너지배율=1.0
50,h50,single_factor,2,0,0.0,1.0,0.0,0.0,에너지배율=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,-0.005015514026677051,-0.0396101861522805,165,h=50 단일가중 점검: RS=1.0
50,h50,single_factor,3,0,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,0.010029161168072943,0.0885177568198164,165,h=50 단일가중 점검: 주가위치=1.0
50,h50,single_factor,4,0,0.0,0.0,0.0,1.0,에너지배율=0.0 / RS=0.0 / 주가위치=0.0 / talent=1.0,-0.12694823068299105,-1.158675078582999,165,h=50 단일가중 점검: talent=1.0
50,h50,is_top5,1,0,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,0.010029161168072943,0.0885177568198164,165,전구간 meanIC 상위5(과최적 판단용)
50,h50,is_top5,2,0,0.0,0.1,0.9,0.0,에너지배율=0.0 / RS=0.1 / 주가위치=0.9 / talent=0.0,0.009507170510974185,0.08341734328275949,165,전구간 meanIC 상위5(과최적 판단용)
50,h50,is_top5,3,0,0.0,0.2,0.8,0.0,에너지배율=0.0 / RS=0.2 / 주가위치=0.8 / talent=0.0,0.009133583414866368,0.07935650182807773,165,전구간 meanIC 상위5(과최적 판단용)
50,h50,is_top5,4,0,0.0,0.3,0.7,0.0,에너지배율=0.0 / RS=0.3 / 주가위치=0.7 / talent=0.0,0.008080995704653692,0.06933277596386273,165,전구간 meanIC 상위5(과최적 판단용)
50,h50,is_top5,5,0,0.0,0.4,0.6,0.0,에너지배율=0.0 / RS=0.4 / 주가위치=0.6 / talent=0.0,0.007106737736241321,0.05992814411252539,165,전구간 meanIC 상위5(과최적 판단용)
50,h50,wf_step,1,1,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,0.027049268793767976,0.21924661603433282,33,train=2023-01-17~2023-09-08; test=2023-09-15~2024-05-17; train meanIC 최대
50,h50,wf_step,2,2,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.05990743450944038,-0.8628777452937026,33,train=2023-01-17~2024-05-17; test=2024-05-24~2025-01-20; train meanIC 최대
50,h50,wf_step,3,3,0.0,0.6,0.4,0.0,에너지배율=0.0 / RS=0.6 / 주가위치=0.4 / talent=0.0,0.024271702240034762,0.16995590257751161,33,train=2023-01-17~2025-01-20; test=2025-01-31~2025-09-23; train meanIC 최대
50,h50,wf_step,4,4,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,0.0409594505643365,0.30838659524267564,33,train=2023-01-17~2025-09-23; test=2025-09-30~2026-06-02; train meanIC 최대
