h,factor,mcap_bucket,quintile,mean_fwd_ret,excess_vs_bucket,n
20,tv5,small,1,-0.00042797892895706077,-0.0023820669384738797,43.23391812865497
20,tv5,small,2,0.003909151209348079,0.0019550631998312596,43.6140350877193
20,tv5,small,3,0.001624339332766158,-0.00032974867675066125,43.57309941520468
20,tv5,small,4,0.007077674853241845,0.005123586843725026,43.6140350877193
20,tv5,small,5,-0.0024159552763976682,-0.004370043285914488,44.02923976608187
20,tv5,mid,1,0.003017983690875112,-0.0028633900770661056,43.26315789473684
20,tv5,mid,2,0.005911191406390705,2.9817638449485983e-05,43.67251461988304
20,tv5,mid,3,0.005629085747388329,-0.00025228802055288836,43.64327485380117
20,tv5,mid,4,0.00972108779076871,0.0038397140228274926,43.67251461988304
20,tv5,mid,5,0.005069226293223565,-0.000812147474717653,44.09356725146199
20,tv5,large,1,0.007595293733391503,-0.006679416910612435,43.30994152046784
20,tv5,large,2,0.012538618831742983,-0.0017360918122609544,43.771929824561404
20,tv5,large,3,0.015554323673429028,0.0012796130294250889,43.73099415204678
20,tv5,large,4,0.016626007040822607,0.00235129639681867,43.771929824561404
20,tv5,large,5,0.018961727929338715,0.0046870172853347766,44.146198830409354
50,tv5,small,1,0.001385404360007511,-0.006097331096534273,43.24242424242424
50,tv5,small,2,0.01358876878803589,0.006106033331494103,43.61212121212121
50,tv5,small,3,0.009971987464368493,0.0024892520078267084,43.56969696969697
50,tv5,small,4,0.014974639502320905,0.0074919040457791216,43.61212121212121
50,tv5,small,5,-0.002414335932879125,-0.009897071389420909,44.03636363636364
50,tv5,mid,1,0.00512236530860109,-0.013648438414985023,43.266666666666666
50,tv5,mid,2,0.014852228550633687,-0.003918575172952428,43.67272727272727
50,tv5,mid,3,0.020773974066119718,0.002003170342533603,43.63636363636363
50,tv5,mid,4,0.029335893301997366,0.010565089578411253,43.67272727272727
50,tv5,mid,5,0.02354505044132697,0.0047742467177408566,44.1030303030303
50,tv5,large,1,0.01806501843689313,-0.02305917095847905,43.2969696969697
50,tv5,large,2,0.029779984880674758,-0.011344204514697422,43.76969696969697
50,tv5,large,3,0.044622514897648534,0.00349832550227635,43.733333333333334
50,tv5,large,4,0.06060078608180792,0.01947659668643574,43.76969696969697
50,tv5,large,5,0.05223317082017594,0.011108981424803757,44.157575757575756
